"time","id","x","y","goal_x","goal_y","goal_id"
"1",0,3,1.3875,2.625,1.13860576250785,1.36792893218813,"goal iswcx"
"2",0,1,1.85,2.23125,4.00707106781187,1.61872905894327,"goal wxiqq"
"3",0,5,1.68676470588235,1.03455882352941,0.992928932188134,1.4225757183215,"goal fryai"
"4",0,4,-1.51964285714286,-2.25,-1.56209586456613,-1.36792893218813,"goal buukm"
"5",0,2,4.1625,2.3625,2.53576808160253,1.63207106781187,"goal recsv"
"6",0.5,3,1.3875,2.625,1.13860576250785,1.36792893218813,"goal iswcx"
"7",0.5,1,1.85,2.23125,4.00707106781187,1.61872905894327,"goal wxiqq"
"8",0.5,5,1.68676470588235,1.03455882352941,0.992928932188134,1.4225757183215,"goal fryai"
"9",0.5,4,-1.51964285714286,-2.25,-1.56209586456613,-1.36792893218813,"goal buukm"
"10",0.5,2,4.1625,2.3625,2.53576808160253,1.63207106781187,"goal recsv"
"11",1,3,1.28011780408832,2.47164233094914,1.13860576250785,1.36792893218813,"goal iswcx"
"12",1,1,2.02512979641186,2.16750796697298,4.00707106781187,1.61872905894327,"goal wxiqq"
"13",1,5,1.49926470588235,1.03455882352941,0.992928932188134,1.4225757183215,"goal fryai"
"14",1,4,-1.366285188092,-2.14261780408832,-1.56209586456613,-1.36792893218813,"goal buukm"
"15",1,2,4.02399742753918,2.24628254253102,2.53576808160253,1.63207106781187,"goal recsv"
"16",1.5,3,1.16161729794351,2.21751717543771,1.13860576250785,1.36792893218813,"goal iswcx"
"17",1.5,1,2.28782449102966,2.07189491743246,4.00707106781187,1.61872905894327,"goal wxiqq"
"18",1.5,5,1.21801470588235,1.03455882352941,0.992928932188134,1.4225757183215,"goal fryai"
"19",1.5,4,-1.13624868451571,-1.9815445102208,-1.56209586456613,-1.36792893218813,"goal buukm"
"20",1.5,2,3.7706865129001,2.15408490958765,2.53576808160253,1.63207106781187,"goal recsv"
"21",2,3,0.920740919074996,1.87351005508539,1.13860576250785,1.36792893218813,"goal iswcx"
"22",2,1,2.41917183833855,2.02408839266219,4.00707106781187,1.61872905894327,"goal wxiqq"
"23",2,5,1.21801470588235,1.03455882352941,0.992928932188134,1.4225757183215,"goal fryai"
